vuosi,kuukausi_nro,etuus,saajat_yhteensa,saajat_laskenta_yhteensa,maksettu_yhteensa,maksettu_laskenta_yhteensa
2012,12,Eläkkeensaajan asumistuki,0,0,883063185.99,0
2012,12,Erityishoitoraha,9378,9378,8013746.5,8013746.5
2012,12,Koulumatkatuki,136798,136798,95778481.62,95778481.62
2012,12,Kuntoutus,182296,182296,548686895.6,548686895.6
2012,12,Kuntoutusraha,106254,106254,154250373.4,154250373.4
2012,12,Lapsilisä,1183410,1181610,2979654303.55,2959474684.83
2012,12,Lastenhoidon tuet,296090,296090,721607075.54,721607075.54
2012,12,Opintolainan korkoavustus,6236,6236,1042494.82,1042494.82
2012,12,Opintolainavähennys,16272,16272,0,0
2012,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",661074,656084,1476975748.74,2472360692.9
2012,12,Sairaanhoitokorvaukset,8460374,8460374,3759171374.14,3759171374.14
2012,12,Sairauspäivärahat,650620,650620,1725698562.72,1725698562.72
2012,12,Sotilasavustus,24746,24746,40277359.77,40277359.77
2012,12,Takuueläke,0,0,308304378,0
2012,12,Työttömyysturva,558092,558092,2839017507.12,2839017507.12
2012,12,Vammaisetuudet,0,0,1110636687,0
2012,12,Vanhempainpäiväraha,324610,324610,2017712362.92,2017712362.92
2012,12,Vuosilomakustannuskorvaus,58624,58624,136130941.31,136130941.31
2012,12,Yleinen asumistuki,0,0,1211972934.93,0
2012,12,Äitiysavustus,116074,116074,21572782.65,21572782.65
2013,12,Elatustuki,0,0,370013358.38,0
2013,12,Eläke-etuudet (pl. takuueläke),0,0,4915098354.64,0
2013,12,Eläkkeensaajan asumistuki,0,0,936034143.71,0
2013,12,Erityishoitoraha,9604,9604,9035201.5,9035201.5
2013,12,Koulumatkatuki,136440,136440,101402587.52,101402587.52
2013,12,Kuntoutus,197726,197726,582989647.42,582989647.42
2013,12,Kuntoutusraha,111042,111042,166912018.06,166912018.06
2013,12,Lapsilisä,1179386,1177742,2985551551.95,2966661368.03
2013,12,Lastenhoidon tuet,297234,297234,740440034.14,740440034.14
2013,12,Opintolainan korkoavustus,4740,4740,634566.82,634566.82
2013,12,Opintolainavähennys,17376,17376,0,0
2013,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",654078,649120,1463542468.6,2472133549.12
2013,12,Sairaanhoitokorvaukset,8427206,8427206,3660920177.14,3660920177.14
2013,12,Sairauspäivärahat,623354,623354,1712964886.2,1712964886.2
2013,12,Sotilasavustus,24034,24034,38243521.21,38243521.21
2013,12,Takuueläke,0,0,315497037,0
2013,12,Työttömyysturva,614706,614706,3365566802.14,3365566802.14
2013,12,Vammaisetuudet,0,0,1185412005,0
2013,12,Vanhempainpäiväraha,320328,320328,2062266487.22,2062266487.22
2013,12,Vuosilomakustannuskorvaus,58510,58510,137754012.87,137754012.87
2013,12,Yleinen asumistuki,0,0,1339004572.59,0
2013,12,Äitiysavustus,114338,114338,21077296.3,21077296.3
2014,12,Elatustuki,0,0,387257226.96,0
2014,12,Eläke-etuudet (pl. takuueläke),0,0,4807292572.18,0
2014,12,Eläkkeensaajan asumistuki,0,0,995745527.33,0
2014,12,Erityishoitoraha,9730,9730,10315619.32,10315619.32
2014,12,Koulumatkatuki,135208,135208,102300039.66,102300039.66
2014,12,Kuntoutus,214214,214214,626642336.76,626642336.76
2014,12,Kuntoutusraha,113462,113462,182765860.84,182765860.84
2014,12,Lapsilisä,1175522,1173738,2990397563.11,2969426310.23
2014,12,Lastenhoidon tuet,295646,295646,742565070.78,742565070.78
2014,12,Opintolainan korkoavustus,3396,3396,394863.2,394863.2
2014,12,Opintolainavähennys,18188,18188,0,0
2014,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",652672,647792,1505498871.28,2680711574.64
2014,12,Sairaanhoitokorvaukset,8464174,8464174,3740857182.14,3740857182.14
2014,12,Sairauspäivärahat,616478,616478,1733246872.46,1733246872.46
2014,12,Sotilasavustus,19024,19024,35769115.13,35769115.13
2014,12,Takuueläke,0,0,313193812,0
2014,12,Työttömyysturva,672816,672816,3866367283.86,3866367283.86
2014,12,Vammaisetuudet,0,0,1225838789,0
2014,12,Vanhempainpäiväraha,316868,316868,2067209083.12,2067209083.12
2014,12,Vuosilomakustannuskorvaus,60040,60040,142977109.46,142977109.46
2014,12,Yleinen asumistuki,0,0,1484599328.07,0
2014,12,Äitiysavustus,114740,114740,21095086.49,21095086.49
2015,12,Elatustuki,0,0,403804350.44,0
2015,12,Eläke-etuudet (pl. takuueläke),0,0,4682506059.42,0
2015,12,Eläkkeensaajan asumistuki,0,0,1064306767.01,0
2015,12,Erityishoitoraha,10366,10366,10768018.76,10768018.76
2015,12,Koulumatkatuki,128738,128738,94135484.12,94135484.12
2015,12,Kuntoutus,224424,224424,685094912.08,685094912.08
2015,12,Kuntoutusraha,114584,114584,198833822.54,198833822.54
2015,12,Lapsilisä,1172566,1171068,2768702586.3,2750689902.96
2015,12,Lastenhoidon tuet,291738,291738,722315330.78,722315330.78
2015,12,Opintolainan korkoavustus,2542,2542,265881.78,265881.78
2015,12,Opintolainavähennys,19944,19944,0,0
2015,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",655422,650874,1537609851.1,2920879495.9
2015,12,Sairaanhoitokorvaukset,8426586,8426586,3816499812.14,3816499812.14
2015,12,Sairauspäivärahat,593516,593516,1726426042.06,1726426042.06
2015,12,Sotilasavustus,18592,18592,33738571.74,33738571.74
2015,12,Takuueläke,0,0,323816823,0
2015,12,Työttömyysturva,713574,713574,4182286055.36,4182286055.36
2015,12,Vammaisetuudet,0,0,1239113950,0
2015,12,Vanhempainpäiväraha,325842,325842,2086741925.44,2086741925.44
2015,12,Vuosilomakustannuskorvaus,61712,61712,143013086.57,143013086.57
2015,12,Yleinen asumistuki,0,0,1835239411.75,0
2015,12,Äitiysavustus,110026,110026,20033386.4,20033386.4
2016,12,Elatustuki,0,0,409090766.96,0
2016,12,Eläke-etuudet (pl. takuueläke),0,0,4555832071.52,0
2016,12,Eläkkeensaajan asumistuki,0,0,1117943482.17,0
2016,12,Erityishoitoraha,10512,10512,10966241.94,10966241.94
2016,12,Koulumatkatuki,130700,130700,99870322.86,99870322.86
2016,12,Kuntoutus,219486,219486,704630559.06,704630559.06
2016,12,Kuntoutusraha,98374,98374,207527949.2,207527949.2
2016,12,Lapsilisä,1167050,1165844,2763376610.8,2748815040.08
2016,12,Lastenhoidon tuet,285360,285360,693397200.08,693397200.08
2016,12,Opintolainahyvitys,82,82,117550.36,117550.36
2016,12,Opintolainan korkoavustus,2096,2096,190044.68,190044.68
2016,12,Opintolainavähennys,22216,22216,0,0
2016,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",644608,639812,1544402696.02,2959635187.26
2016,12,Sairaanhoitokorvaukset,7659632,7659632,3679390054.94,3679390054.94
2016,12,Sairauspäivärahat,571632,571632,1625809851.02,1625809851.02
2016,12,Sotilasavustus,18384,18384,32111858.63,32111858.63
2016,12,Takuueläke,0,0,384747741,0
2016,12,Työttömyysturva,739302,739302,4338135477.86,4338135477.86
2016,12,Vammaisetuudet,0,0,1162155750,0
2016,12,Vanhempainpäiväraha,309458,309458,1987064209.02,1987064209.02
2016,12,Vuosilomakustannuskorvaus,59416,59416,139280941.36,139280941.36
2016,12,Yleinen asumistuki,0,0,2161926948.39,0
2016,12,Äitiysavustus,104084,104084,19007533.24,19007533.24
2017,12,Elatustuki,0,0,409839466.18,0
2017,12,Eläke-etuudet (pl. takuueläke),0,0,4397334958.44,0
2017,12,Eläketuki,0,0,29819543.72,0
2017,12,Eläkkeensaajan asumistuki,0,0,1162066000.85,0
2017,12,Erityishoitoraha,9808,9808,11448550.04,11448550.04
2017,12,Koulumatkatuki,128002,128002,93685495.04,93685495.04
2017,12,Kuntoutus,217340,217340,673381519.16,673381519.16
2017,12,Kuntoutusraha,81470,81470,223460834.86,223460834.86
2017,12,Lapsilisä,1159132,1158008,2732485224.13,2717194551.17
2017,12,Lastenhoidon tuet,277196,277196,655925386.18,655925386.18
2017,12,Opintolainahyvitys,2360,2360,6078636.68,6078636.68
2017,12,Opintolainan korkoavustus,1762,1762,139634.76,139634.76
2017,12,Opintolainavähennys,21404,21404,0,0
2017,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",630332,625336,1213188359.36,3044596731.1
2017,12,Perhevapaakorvaus,12550,12550,31395000,31395000
2017,12,Perustoimeentulotuki,0,0,1444155686.6,0
2017,12,Sairaanhoitokorvaukset,7528724,7528724,3630528010.12,3630528010.12
2017,12,Sairauspäivärahat,581972,581972,1613694383.42,1613694383.42
2017,12,Sotilasavustus,17876,17876,33248373.33,33248373.33
2017,12,Takuueläke,0,0,385243568,0
2017,12,Työttömyysturva,732078,732078,4249782404.4,4249782404.4
2017,12,Vammaisetuudet,0,0,1109718687,0
2017,12,Vanhempainpäiväraha,298184,298184,1868869759.08,1868869759.08
2017,12,Vuosilomakustannuskorvaus,60882,60882,102973827.25,102973827.25
2017,12,Yleinen asumistuki,0,0,2521609816.95,0
2017,12,Äitiysavustus,97820,97820,17836504.21,17836504.21
2018,1,Elatustuki,140518,140518,34035049.24,31122383.52
2018,1,Eläke-etuudet (pl. takuueläke),1273370,1273370,360924460.6,357113197.18
2018,1,Eläketuki,6274,6274,5113985.16,4845105.36
2018,1,Eläkkeensaajan asumistuki,408866,408866,97793153.4,93827923.58
2018,1,Erityishoitoraha,1404,1404,1000887.7,1000887.7
2018,1,Koulumatkatuki,52666,52666,7914984.38,7914984.38
2018,1,Kuntoutus,117776,117776,61862201.32,61862201.32
2018,1,Kuntoutusraha,27482,27482,19539227.1,19539227.1
2018,1,Lapsilisä,1096442,1095270,228769166.04,227599430.76
2018,1,Lastenhoidon tuet,150202,129198,48577397.62,42284484
2018,1,Opintolainahyvitys,22,22,75440,75440
2018,1,Opintolainan korkoavustus,238,238,12675.28,12675.28
2018,1,Opintolainavähennys,104,104,0,0
2018,1,"Opintotuki (opintoraha, asumislisä, lainatakaus)",441080,436180,90135973.48,325402396
2018,1,Perhevapaakorvaus,2234,2234,5585000,5585000
2018,1,Perustoimeentulotuki,264740,264740,111701565.2,119493338.44
